Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
IoT Development,23,344,13,4,Kanban,Senior,Medium
ERP Implementation,5,400,6,4,Scrum,Senior,Low
Cloud Migration,4,188,31,12,Waterfall,Senior,High
E-Commerce Platform,2,118,17,7,Kanban,Mixed,Medium
IoT Development,25,270,2,2,Scrum,Senior,Medium
Mobile App,5,123,16,8,Agile,Junior,Medium
Cybersecurity Solution,9,73,3,12,Scrum,Mixed,Medium
Mobile App,7,285,26,3,Agile,Junior,Medium
Cybersecurity Solution,15,411,12,6,Hybrid,Senior,Medium
IoT Development,26,299,5,8,Waterfall,Mixed,High
Data Analytics Platform,7,34,10,6,Hybrid,Mixed,Medium
Cybersecurity Solution,15,132,11,3,Agile,Junior,Medium
AI / ML Project,5,447,1,3,Hybrid,Senior,Medium
Cloud Migration,9,112,26,8,Waterfall,Junior,High
ERP Implementation,6,108,9,8,Scrum,Junior,Medium
Web Application,7,194,8,8,Waterfall,Senior,Medium
Cybersecurity Solution,20,92,20,4,Scrum,Senior,Medium
E-Commerce Platform,7,177,6,9,Scrum,Junior,Medium
Web Application,18,396,4,5,Waterfall,Mixed,High
Cybersecurity Solution,9,48,33,5,Agile,Junior,High
Mobile App,7,482,1,9,Agile,Senior,Low
IoT Development,13,81,8,8,Waterfall,Junior,High
Mobile App,6,193,11,4,Scrum,Senior,Low
Web Application,10,77,11,5,Kanban,Senior,Low
Cloud Migration,6,58,13,5,Waterfall,Mixed,Medium
AI / ML Project,10,79,35,6,Waterfall,Senior,High
IoT Development,10,129,12,2,Waterfall,Mixed,Medium
E-Commerce Platform,6,378,9,5,Agile,Senior,Low
Cybersecurity Solution,6,73,19,3,Agile,Senior,Medium
CRM System,10,125,33,4,Scrum,Senior,Medium
ERP Implementation,9,57,16,8,Waterfall,Senior,High
IoT Development,7,63,9,3,Agile,Senior,Low
Cloud Migration,10,693,35,6,Hybrid,Junior,High
CRM System,13,443,12,4,Scrum,Mixed,Medium
AI / ML Project,8,367,7,6,Hybrid,Mixed,Medium
ERP Implementation,22,40,23,3,Waterfall,Senior,High
CRM System,13,62,36,4,Agile,Senior,Medium
E-Commerce Platform,8,311,31,6,Scrum,Senior,Medium
ERP Implementation,24,85,7,10,Kanban,Junior,High
IoT Development,6,97,15,6,Waterfall,Senior,Medium
Mobile App,5,285,12,3,Scrum,Senior,Low
CRM System,3,492,7,6,Scrum,Junior,Medium
ERP Implementation,4,203,20,8,Kanban,Senior,Medium
AI / ML Project,5,91,15,8,Waterfall,Mixed,High
Web Application,7,243,5,3,Scrum,Senior,Low
Cybersecurity Solution,10,172,18,4,Hybrid,Junior,High
Data Analytics Platform,3,167,14,9,Agile,Junior,High
CRM System,18,78,3,9,Agile,Junior,Medium
ERP Implementation,4,66,30,6,Hybrid,Mixed,Medium
ERP Implementation,2,123,5,9,Agile,Mixed,Medium
E-Commerce Platform,15,39,24,5,Waterfall,Mixed,Medium
Cybersecurity Solution,7,53,17,4,Waterfall,Mixed,Medium
Web Application,9,148,28,1,Agile,Junior,Medium
Mobile App,15,56,16,8,Waterfall,Senior,Medium
ERP Implementation,9,191,10,4,Waterfall,Mixed,High
Mobile App,10,276,36,8,Agile,Mixed,Medium
Data Analytics Platform,7,94,32,1,Kanban,Senior,Low
IoT Development,11,291,14,8,Agile,Mixed,High
CRM System,5,22,11,5,Kanban,Senior,Low
IoT Development,8,392,23,5,Scrum,Junior,High
Data Analytics Platform,11,463,30,4,Agile,Mixed,Medium
Mobile App,7,69,21,4,Kanban,Mixed,Medium
Cloud Migration,8,434,8,6,Hybrid,Senior,Medium
Web Application,13,149,6,6,Agile,Senior,Low
IoT Development,8,193,34,5,Waterfall,Junior,High
E-Commerce Platform,4,46,13,5,Hybrid,Senior,Low
Web Application,9,217,11,6,Waterfall,Mixed,Medium
Cloud Migration,14,311,5,3,Hybrid,Junior,Medium
Data Analytics Platform,11,111,36,4,Scrum,Junior,Medium
Cloud Migration,5,496,11,4,Waterfall,Mixed,Medium
CRM System,11,291,18,4,Kanban,Junior,Medium
ERP Implementation,3,68,26,8,Scrum,Senior,High
CRM System,10,22,2,3,Kanban,Junior,Low
ERP Implementation,8,119,5,6,Waterfall,Junior,High
ERP Implementation,11,297,12,9,Waterfall,Mixed,High
AI / ML Project,26,270,10,3,Kanban,Junior,High
Mobile App,7,154,31,3,Agile,Mixed,Medium
Cybersecurity Solution,6,417,15,4,Scrum,Junior,Medium
AI / ML Project,8,51,30,2,Kanban,Mixed,Medium
CRM System,19,103,18,6,Kanban,Mixed,Medium
Data Analytics Platform,5,95,13,7,Scrum,Junior,Medium
Cybersecurity Solution,10,214,25,2,Agile,Junior,High
Cybersecurity Solution,15,84,2,2,Agile,Senior,Low
IoT Development,3,341,31,8,Scrum,Junior,High
IoT Development,13,84,29,5,Agile,Senior,Medium
CRM System,4,101,22,8,Waterfall,Mixed,High
AI / ML Project,7,166,35,6,Kanban,Senior,Medium
E-Commerce Platform,5,71,1,3,Scrum,Senior,Low
Mobile App,8,49,31,6,Scrum,Mixed,Medium
Web Application,16,54,35,8,Scrum,Mixed,Medium
Data Analytics Platform,9,29,32,8,Scrum,Senior,Medium
ERP Implementation,6,178,17,6,Waterfall,Mixed,High
Web Application,3,126,9,5,Scrum,Senior,Low
ERP Implementation,11,577,8,11,Waterfall,Senior,High
ERP Implementation,15,47,9,5,Agile,Junior,Medium
IoT Development,4,41,1,4,Hybrid,Senior,Low
ERP Implementation,10,417,25,2,Waterfall,Mixed,High
IoT Development,8,59,20,6,Waterfall,Mixed,High
Cybersecurity Solution,3,175,10,10,Scrum,Junior,High
Cloud Migration,14,1147,12,8,Scrum,Senior,Medium
ERP Implementation,15,343,28,6,Waterfall,Senior,High
ERP Implementation,9,185,16,5,Waterfall,Senior,Medium
ERP Implementation,5,54,34,7,Hybrid,Senior,Medium
E-Commerce Platform,6,48,30,6,Scrum,Senior,Low
Web Application,7,50,14,2,Kanban,Senior,Low
Cybersecurity Solution,4,514,34,6,Hybrid,Junior,High
E-Commerce Platform,5,94,13,5,Kanban,Senior,Low
Cybersecurity Solution,7,39,14,4,Hybrid,Senior,Medium
Web Application,7,382,27,5,Agile,Junior,Medium
Web Application,3,73,35,5,Hybrid,Junior,High
AI / ML Project,29,215,13,5,Agile,Senior,Medium
Cybersecurity Solution,7,56,22,7,Scrum,Senior,Medium
AI / ML Project,9,1333,16,7,Hybrid,Senior,High
Cloud Migration,8,46,1,9,Agile,Mixed,Medium
AI / ML Project,14,51,28,3,Hybrid,Senior,Medium
AI / ML Project,18,86,22,5,Kanban,Senior,High
Mobile App,4,685,27,6,Waterfall,Mixed,High
IoT Development,13,121,24,14,Scrum,Senior,Medium
Cybersecurity Solution,10,62,36,6,Kanban,Mixed,Medium
Web Application,4,72,11,11,Scrum,Junior,Medium
IoT Development,6,132,33,4,Agile,Junior,High
Cybersecurity Solution,4,77,11,12,Scrum,Mixed,Medium
E-Commerce Platform,6,85,33,2,Scrum,Junior,Medium
Cybersecurity Solution,5,457,22,5,Agile,Junior,High
AI / ML Project,16,187,33,3,Scrum,Mixed,High
E-Commerce Platform,7,26,1,4,Waterfall,Senior,Low
Mobile App,19,219,36,9,Scrum,Mixed,Medium
AI / ML Project,10,339,16,3,Kanban,Mixed,Medium
E-Commerce Platform,2,150,10,7,Kanban,Junior,Medium
AI / ML Project,6,136,25,6,Kanban,Mixed,Medium
Cybersecurity Solution,6,238,18,8,Scrum,Senior,Medium
ERP Implementation,5,147,16,4,Agile,Mixed,Medium
Cybersecurity Solution,9,290,18,5,Kanban,Junior,High
CRM System,7,102,8,7,Waterfall,Senior,Medium
Cybersecurity Solution,14,78,7,6,Hybrid,Senior,Medium
Cybersecurity Solution,8,308,35,9,Waterfall,Mixed,High
ERP Implementation,18,324,12,10,Agile,Mixed,High
Web Application,4,395,29,6,Hybrid,Junior,Medium
IoT Development,4,33,34,5,Scrum,Mixed,Medium
AI / ML Project,2,170,26,6,Hybrid,Senior,High
CRM System,7,255,35,7,Kanban,Junior,Medium
Web Application,7,139,18,7,Waterfall,Junior,Medium
Cloud Migration,5,1107,1,8,Kanban,Junior,High
IoT Development,6,426,18,10,Hybrid,Mixed,Medium
Cloud Migration,10,302,16,4,Agile,Senior,Medium
E-Commerce Platform,8,126,5,8,Scrum,Senior,Low
E-Commerce Platform,5,226,1,7,Agile,Junior,Medium
IoT Development,3,188,28,3,Kanban,Mixed,High
ERP Implementation,4,346,32,5,Agile,Senior,Medium
ERP Implementation,8,83,26,3,Kanban,Senior,Medium
AI / ML Project,3,210,25,5,Hybrid,Mixed,High
Data Analytics Platform,10,970,14,2,Agile,Senior,Medium
AI / ML Project,12,61,26,6,Waterfall,Mixed,High
E-Commerce Platform,16,969,35,7,Agile,Mixed,High
Mobile App,6,307,7,3,Hybrid,Junior,Medium
Cybersecurity Solution,7,186,36,13,Hybrid,Senior,Medium
CRM System,15,246,21,4,Agile,Mixed,Medium
E-Commerce Platform,4,252,29,8,Agile,Senior,Medium
ERP Implementation,5,70,9,10,Scrum,Senior,Low
Data Analytics Platform,12,260,6,4,Agile,Mixed,Medium
Cybersecurity Solution,5,410,6,1,Kanban,Senior,Medium
IoT Development,11,95,28,7,Waterfall,Junior,High
Cybersecurity Solution,21,108,16,7,Waterfall,Senior,High
E-Commerce Platform,5,258,21,4,Hybrid,Mixed,Medium
Web Application,9,287,31,8,Scrum,Senior,Medium
Cloud Migration,22,104,14,6,Scrum,Senior,Medium
IoT Development,22,36,21,7,Waterfall,Senior,High
IoT Development,14,140,23,6,Scrum,Senior,Medium
Cloud Migration,23,63,21,3,Hybrid,Junior,High
Web Application,6,132,26,6,Agile,Mixed,Medium
AI / ML Project,11,172,17,8,Waterfall,Senior,High
Cybersecurity Solution,3,165,25,4,Kanban,Junior,High
Mobile App,6,153,24,4,Scrum,Senior,Low
CRM System,6,230,11,5,Agile,Junior,Medium
Data Analytics Platform,3,347,21,5,Kanban,Senior,Medium
IoT Development,8,743,35,6,Kanban,Junior,High
Cloud Migration,11,98,23,11,Waterfall,Junior,High
IoT Development,27,83,9,3,Agile,Mixed,Medium
Cloud Migration,4,474,30,6,Waterfall,Mixed,High
Cloud Migration,15,97,24,3,Scrum,Junior,Medium
IoT Development,6,193,3,8,Hybrid,Junior,Medium
Mobile App,5,443,22,4,Agile,Senior,Medium
ERP Implementation,6,173,8,5,Hybrid,Senior,Medium
Data Analytics Platform,6,269,3,7,Scrum,Mixed,Low
Cybersecurity Solution,3,185,16,7,Waterfall,Junior,High
E-Commerce Platform,20,54,4,6,Scrum,Mixed,Medium
Web Application,12,253,20,11,Waterfall,Senior,High
Cloud Migration,7,40,15,5,Agile,Senior,Low
Mobile App,9,231,5,5,Hybrid,Junior,Medium
Web Application,5,211,27,3,Hybrid,Junior,Medium
CRM System,11,284,26,1,Scrum,Senior,Medium
Cybersecurity Solution,26,86,20,4,Waterfall,Senior,High
AI / ML Project,5,55,27,6,Kanban,Mixed,Medium
Cybersecurity Solution,7,71,32,6,Waterfall,Senior,Medium
ERP Implementation,3,274,35,3,Scrum,Junior,High
Cloud Migration,4,46,27,1,Hybrid,Junior,Medium
Data Analytics Platform,7,83,16,4,Kanban,Senior,Low
Cybersecurity Solution,3,351,19,2,Hybrid,Mixed,High
ERP Implementation,18,368,12,13,Agile,Mixed,High
Cybersecurity Solution,3,305,14,6,Scrum,Mixed,High
Web Application,23,106,18,5,Hybrid,Senior,Medium
Cybersecurity Solution,12,50,35,6,Scrum,Mixed,Medium
Cybersecurity Solution,10,116,32,10,Scrum,Mixed,Medium
Cloud Migration,3,1486,2,5,Agile,Junior,High
CRM System,15,445,11,6,Hybrid,Senior,Medium
IoT Development,6,32,24,6,Hybrid,Senior,Medium
IoT Development,13,127,23,7,Kanban,Mixed,High
IoT Development,4,1026,11,9,Hybrid,Senior,High
AI / ML Project,15,11,19,6,Hybrid,Junior,High
Cybersecurity Solution,20,223,14,4,Agile,Mixed,High
AI / ML Project,12,415,36,5,Waterfall,Junior,High
E-Commerce Platform,9,254,26,7,Hybrid,Junior,High
ERP Implementation,6,346,3,4,Waterfall,Junior,High
Web Application,4,54,31,7,Agile,Mixed,Medium
IoT Development,14,867,11,1,Agile,Senior,Medium
Data Analytics Platform,6,115,17,7,Waterfall,Junior,Medium
ERP Implementation,2,83,28,5,Waterfall,Mixed,High
IoT Development,12,213,23,4,Waterfall,Junior,High
Web Application,15,50,13,4,Hybrid,Mixed,Medium
CRM System,23,37,2,10,Waterfall,Senior,Medium
Data Analytics Platform,5,69,19,9,Scrum,Senior,Medium
ERP Implementation,13,206,2,8,Waterfall,Mixed,High
Cloud Migration,3,140,8,4,Hybrid,Senior,Medium
Cybersecurity Solution,4,32,27,6,Kanban,Mixed,Medium
E-Commerce Platform,5,126,30,6,Kanban,Senior,Medium
CRM System,5,64,30,5,Agile,Mixed,Medium
Data Analytics Platform,9,606,7,7,Scrum,Mixed,Medium
CRM System,5,156,12,12,Hybrid,Senior,Medium
E-Commerce Platform,4,211,34,2,Agile,Senior,Medium
Web Application,3,117,9,8,Agile,Mixed,Medium
Cybersecurity Solution,6,251,29,6,Agile,Mixed,High
Cloud Migration,6,103,27,6,Agile,Junior,High
Cybersecurity Solution,11,111,18,8,Agile,Junior,High
Cybersecurity Solution,4,178,22,3,Waterfall,Senior,Medium
ERP Implementation,9,696,15,4,Agile,Junior,High
ERP Implementation,18,65,25,8,Agile,Senior,High
ERP Implementation,6,190,19,7,Waterfall,Senior,Medium
Cloud Migration,29,82,27,6,Kanban,Junior,High
Web Application,5,105,35,7,Scrum,Senior,Low
Web Application,3,688,22,7,Waterfall,Senior,High
Data Analytics Platform,7,79,29,6,Scrum,Mixed,Medium
CRM System,7,573,20,5,Agile,Junior,High
Cybersecurity Solution,17,82,14,12,Scrum,Mixed,Medium
Web Application,3,77,18,5,Kanban,Junior,Medium
CRM System,5,105,5,4,Scrum,Senior,Low
Mobile App,26,34,21,6,Scrum,Junior,Medium
ERP Implementation,9,152,14,9,Hybrid,Mixed,High
CRM System,8,565,16,6,Hybrid,Mixed,Medium
IoT Development,20,618,29,2,Kanban,Senior,High
Cloud Migration,7,131,4,4,Scrum,Junior,Medium
E-Commerce Platform,6,65,29,5,Agile,Senior,Medium
Web Application,5,74,30,6,Hybrid,Junior,Medium
AI / ML Project,8,66,14,2,Waterfall,Senior,Medium
CRM System,10,39,29,8,Scrum,Senior,Medium
Cybersecurity Solution,10,765,22,5,Agile,Senior,High
Mobile App,18,127,16,5,Scrum,Junior,Medium
Cybersecurity Solution,6,32,2,6,Agile,Senior,Low
CRM System,5,70,21,2,Waterfall,Senior,Medium
CRM System,9,82,3,6,Agile,Junior,Medium
CRM System,14,444,22,10,Agile,Junior,High
CRM System,5,350,24,4,Agile,Senior,Medium
AI / ML Project,18,572,27,9,Agile,Junior,High
IoT Development,7,420,35,7,Agile,Junior,High
ERP Implementation,25,824,9,6,Kanban,Senior,High
AI / ML Project,7,107,10,7,Agile,Senior,Medium
E-Commerce Platform,3,1491,7,8,Agile,Junior,High
E-Commerce Platform,4,378,27,6,Hybrid,Senior,Medium
AI / ML Project,4,88,9,9,Waterfall,Senior,Medium
Cloud Migration,12,1237,1,6,Agile,Senior,Medium
Cybersecurity Solution,17,210,35,8,Agile,Junior,High
ERP Implementation,9,45,22,7,Hybrid,Senior,Medium
IoT Development,11,13,33,9,Agile,Senior,Medium
Cybersecurity Solution,27,185,11,4,Agile,Mixed,High
Cybersecurity Solution,6,603,26,5,Hybrid,Mixed,High
E-Commerce Platform,5,254,14,6,Waterfall,Mixed,Medium
CRM System,4,150,1,5,Scrum,Junior,Medium
ERP Implementation,10,220,8,7,Scrum,Mixed,Medium
Data Analytics Platform,29,94,3,2,Waterfall,Senior,Medium
IoT Development,3,347,36,6,Hybrid,Mixed,High
AI / ML Project,5,602,10,9,Scrum,Senior,Medium
Mobile App,7,515,13,6,Agile,Mixed,Medium
AI / ML Project,6,1835,23,8,Kanban,Mixed,High
Web Application,5,57,3,4,Agile,Senior,Low
ERP Implementation,4,154,10,6,Scrum,Junior,Medium
ERP Implementation,8,198,16,1,Waterfall,Mixed,Medium
Data Analytics Platform,5,333,2,8,Kanban,Mixed,Medium
Cybersecurity Solution,24,765,22,2,Scrum,Senior,High
Mobile App,25,64,8,7,Agile,Mixed,Medium
IoT Development,4,46,19,5,Agile,Senior,Medium
Cybersecurity Solution,3,108,23,8,Kanban,Junior,High
ERP Implementation,22,50,2,9,Agile,Junior,High
Mobile App,6,48,30,5,Agile,Mixed,Medium
E-Commerce Platform,8,170,27,9,Waterfall,Senior,Medium
Data Analytics Platform,7,189,6,5,Agile,Junior,Medium
Web Application,7,39,13,7,Hybrid,Senior,Low
CRM System,9,173,32,3,Kanban,Senior,Medium
CRM System,6,45,32,10,Kanban,Senior,Medium
Cybersecurity Solution,9,211,6,1,Kanban,Mixed,Medium
IoT Development,12,288,24,2,Agile,Senior,Medium
IoT Development,11,165,36,9,Kanban,Mixed,High
ERP Implementation,21,29,13,7,Agile,Senior,Medium
Cybersecurity Solution,29,170,30,5,Scrum,Junior,High
Web Application,5,74,5,4,Agile,Junior,Medium
Cloud Migration,25,65,33,2,Hybrid,Junior,High
E-Commerce Platform,3,355,1,8,Waterfall,Senior,Medium
AI / ML Project,2,316,15,4,Hybrid,Junior,High
CRM System,19,104,15,11,Waterfall,Mixed,High
ERP Implementation,7,117,36,8,Agile,Senior,Medium
AI / ML Project,5,106,35,8,Waterfall,Junior,High
ERP Implementation,3,292,10,4,Kanban,Junior,High
AI / ML Project,5,348,6,8,Hybrid,Senior,Medium
Web Application,19,73,30,5,Waterfall,Mixed,High
Data Analytics Platform,6,84,21,5,Scrum,Mixed,Medium
Cybersecurity Solution,3,315,10,9,Agile,Junior,High
AI / ML Project,14,86,26,3,Agile,Junior,High
AI / ML Project,9,236,2,3,Scrum,Mixed,Medium
Mobile App,6,272,15,9,Agile,Senior,Low
AI / ML Project,3,380,34,3,Scrum,Junior,High
AI / ML Project,18,38,17,7,Waterfall,Junior,High
E-Commerce Platform,5,134,20,5,Waterfall,Senior,Medium
ERP Implementation,10,161,32,4,Agile,Junior,High
Data Analytics Platform,22,101,15,5,Agile,Junior,Medium
CRM System,3,40,8,4,Scrum,Mixed,Medium
ERP Implementation,10,69,11,7,Waterfall,Junior,High
AI / ML Project,7,123,28,5,Waterfall,Junior,High
Mobile App,3,93,16,6,Scrum,Mixed,Medium
Mobile App,26,202,23,8,Agile,Junior,High
Web Application,25,101,25,8,Waterfall,Senior,High
Web Application,4,163,36,5,Scrum,Junior,Medium
IoT Development,4,242,15,8,Kanban,Mixed,Medium
Data Analytics Platform,5,34,5,5,Agile,Senior,Low
Data Analytics Platform,3,47,1,3,Waterfall,Mixed,Medium
AI / ML Project,24,89,21,4,Agile,Mixed,High
E-Commerce Platform,10,436,9,7,Hybrid,Junior,Medium
Cybersecurity Solution,3,123,12,4,Waterfall,Senior,High
ERP Implementation,7,26,19,10,Scrum,Senior,Medium
Cloud Migration,6,23,32,5,Kanban,Junior,Medium
ERP Implementation,5,534,16,9,Hybrid,Junior,High
Mobile App,6,190,33,4,Waterfall,Mixed,Medium
Web Application,11,95,4,8,Kanban,Senior,Low
E-Commerce Platform,8,103,2,6,Kanban,Junior,Medium
IoT Development,7,151,16,5,Waterfall,Senior,Medium
IoT Development,7,104,21,10,Agile,Junior,High
AI / ML Project,15,93,26,3,Hybrid,Mixed,High
ERP Implementation,6,26,7,6,Waterfall,Senior,Medium
Data Analytics Platform,5,76,6,9,Hybrid,Mixed,Medium
E-Commerce Platform,6,85,36,9,Waterfall,Senior,Medium
Web Application,12,76,6,6,Agile,Senior,Low
AI / ML Project,24,79,14,7,Kanban,Mixed,High
ERP Implementation,15,154,22,8,Kanban,Mixed,Medium
Web Application,17,141,31,2,Waterfall,Junior,High
CRM System,22,202,11,7,Waterfall,Junior,High
Cloud Migration,8,220,17,2,Agile,Mixed,Medium
IoT Development,7,108,28,6,Kanban,Mixed,Medium
Cybersecurity Solution,22,38,19,4,Hybrid,Mixed,High
Cloud Migration,7,103,5,14,Agile,Junior,Medium
Web Application,9,1317,22,8,Hybrid,Junior,High
ERP Implementation,4,300,4,5,Waterfall,Junior,High
CRM System,5,239,27,9,Waterfall,Mixed,High
Mobile App,7,50,9,3,Hybrid,Senior,Low
ERP Implementation,7,277,1,8,Scrum,Junior,Medium
Cybersecurity Solution,8,126,12,8,Scrum,Mixed,Medium
Web Application,3,106,8,3,Agile,Senior,Low
AI / ML Project,4,115,27,6,Waterfall,Mixed,High
Mobile App,4,65,15,5,Scrum,Mixed,Low
AI / ML Project,10,113,32,4,Waterfall,Mixed,High
Data Analytics Platform,8,178,1,5,Agile,Junior,Medium
Cloud Migration,17,386,12,13,Kanban,Senior,High
Mobile App,12,42,8,7,Hybrid,Mixed,Low
Cloud Migration,5,167,1,6,Agile,Senior,Low
Web Application,6,99,29,6,Agile,Senior,Low
Cloud Migration,17,81,32,3,Waterfall,Junior,High
Web Application,10,88,34,9,Waterfall,Junior,High
AI / ML Project,4,101,20,7,Hybrid,Mixed,Medium
CRM System,21,56,3,10,Kanban,Senior,Medium
CRM System,4,365,16,8,Hybrid,Mixed,Medium
Cloud Migration,5,19,23,8,Kanban,Junior,Medium
IoT Development,22,817,30,8,Scrum,Senior,High
IoT Development,7,200,33,4,Hybrid,Mixed,High
E-Commerce Platform,8,282,15,7,Agile,Junior,Medium
Cloud Migration,16,139,34,7,Scrum,Junior,High
ERP Implementation,3,439,18,3,Hybrid,Mixed,High
E-Commerce Platform,29,263,23,8,Waterfall,Junior,High
Web Application,9,79,3,10,Kanban,Junior,Medium
Mobile App,6,112,8,7,Kanban,Junior,Medium
Web Application,12,799,23,5,Agile,Junior,High
E-Commerce Platform,10,316,7,8,Kanban,Junior,Medium
Mobile App,6,62,4,6,Scrum,Mixed,Low
Cloud Migration,24,62,1,3,Waterfall,Mixed,Medium
ERP Implementation,13,458,35,6,Scrum,Senior,Medium
Web Application,15,86,30,5,Kanban,Junior,Medium
Cybersecurity Solution,4,45,10,7,Waterfall,Senior,Medium
IoT Development,3,455,9,3,Scrum,Junior,High
ERP Implementation,11,83,36,5,Kanban,Junior,High
Mobile App,12,67,2,9,Hybrid,Senior,Low
Web Application,5,145,22,2,Scrum,Junior,Medium
Data Analytics Platform,7,466,20,4,Kanban,Junior,High
E-Commerce Platform,4,248,27,2,Scrum,Junior,Medium
Data Analytics Platform,2,66,9,9,Waterfall,Mixed,Medium
Data Analytics Platform,4,699,30,8,Hybrid,Junior,High
Web Application,6,38,22,5,Hybrid,Mixed,Medium
Cybersecurity Solution,4,192,25,4,Hybrid,Mixed,High
Cloud Migration,8,245,4,10,Agile,Mixed,Medium
ERP Implementation,4,557,32,4,Waterfall,Senior,High
Data Analytics Platform,7,215,24,6,Waterfall,Junior,High
AI / ML Project,5,292,23,5,Scrum,Junior,High
IoT Development,11,173,36,9,Kanban,Senior,Medium
IoT Development,9,125,26,7,Scrum,Mixed,Medium
E-Commerce Platform,5,47,13,6,Kanban,Mixed,Medium
CRM System,28,235,15,8,Waterfall,Junior,High
Mobile App,4,61,5,7,Kanban,Junior,Medium
IoT Development,13,277,21,9,Agile,Senior,High
Data Analytics Platform,3,47,19,5,Kanban,Mixed,Medium
ERP Implementation,21,83,20,6,Scrum,Mixed,High
E-Commerce Platform,8,138,9,7,Scrum,Mixed,Low
ERP Implementation,7,46,4,3,Waterfall,Mixed,Medium
AI / ML Project,7,247,13,5,Waterfall,Senior,High
Data Analytics Platform,26,1387,14,7,Agile,Senior,Medium
CRM System,5,73,18,4,Waterfall,Junior,Medium
Web Application,6,184,29,2,Hybrid,Mixed,Medium
E-Commerce Platform,9,144,21,9,Scrum,Junior,High
Cloud Migration,12,250,2,6,Hybrid,Senior,Medium
AI / ML Project,7,229,30,5,Waterfall,Junior,High
Mobile App,23,503,24,8,Waterfall,Mixed,High
AI / ML Project,13,309,21,5,Scrum,Senior,Medium
CRM System,5,50,18,6,Waterfall,Mixed,Medium
Web Application,10,42,23,9,Waterfall,Senior,Medium
Cloud Migration,10,58,18,1,Kanban,Junior,Medium
Cybersecurity Solution,28,251,22,7,Kanban,Junior,High
AI / ML Project,19,93,7,6,Hybrid,Senior,Medium
Web Application,10,162,8,7,Hybrid,Junior,Medium
Mobile App,27,415,22,7,Hybrid,Junior,High
Web Application,3,14,36,9,Hybrid,Senior,Medium
AI / ML Project,13,76,34,11,Kanban,Junior,High
AI / ML Project,4,227,25,8,Hybrid,Senior,High
AI / ML Project,8,237,24,2,Scrum,Mixed,Medium
AI / ML Project,3,161,5,6,Kanban,Mixed,Medium
Data Analytics Platform,9,45,4,5,Waterfall,Junior,Medium
CRM System,6,323,5,12,Kanban,Mixed,Medium
Mobile App,18,281,35,2,Scrum,Mixed,Medium
AI / ML Project,15,35,22,12,Kanban,Senior,Medium
Cloud Migration,18,120,31,8,Waterfall,Mixed,High
E-Commerce Platform,6,325,27,4,Waterfall,Junior,High
Data Analytics Platform,11,894,20,3,Scrum,Mixed,Medium
Web Application,14,111,29,4,Scrum,Mixed,Medium
AI / ML Project,8,613,20,7,Hybrid,Junior,High
Data Analytics Platform,5,428,30,9,Agile,Mixed,Medium
E-Commerce Platform,4,511,5,7,Agile,Junior,Medium
Cybersecurity Solution,10,266,34,6,Kanban,Senior,Medium
Cloud Migration,14,93,36,8,Kanban,Senior,Medium
Mobile App,6,29,18,6,Kanban,Mixed,Low
Web Application,7,45,21,7,Waterfall,Senior,Medium
Cloud Migration,21,356,12,10,Agile,Mixed,Medium
ERP Implementation,6,176,18,5,Waterfall,Junior,High
CRM System,3,40,23,8,Waterfall,Senior,High
CRM System,6,50,8,5,Kanban,Junior,Medium
Mobile App,6,400,18,3,Waterfall,Mixed,Medium
Web Application,9,722,12,8,Agile,Senior,Medium
Web Application,23,104,23,4,Hybrid,Junior,High
Cybersecurity Solution,12,672,22,7,Waterfall,Junior,High
IoT Development,9,69,25,10,Kanban,Senior,Medium
Cybersecurity Solution,4,222,11,5,Kanban,Senior,Medium
AI / ML Project,17,33,36,4,Scrum,Junior,High
Mobile App,4,282,32,7,Waterfall,Mixed,Medium
Web Application,6,156,27,4,Kanban,Senior,Low
AI / ML Project,2,87,21,4,Hybrid,Senior,High
Cybersecurity Solution,3,82,6,6,Waterfall,Junior,High
Cybersecurity Solution,2,98,1,8,Scrum,Mixed,Medium
Cloud Migration,3,54,15,7,Kanban,Junior,High
ERP Implementation,8,93,1,7,Waterfall,Mixed,Medium
IoT Development,13,28,7,7,Kanban,Senior,Low
Data Analytics Platform,3,184,8,6,Kanban,Mixed,Medium
Cybersecurity Solution,10,145,9,9,Hybrid,Mixed,Medium
Web Application,5,167,3,6,Kanban,Junior,Medium
Web Application,17,41,35,5,Waterfall,Mixed,High
Cybersecurity Solution,17,930,13,7,Waterfall,Mixed,High
CRM System,13,438,21,5,Hybrid,Mixed,High
Mobile App,4,171,22,1,Agile,Junior,Medium
E-Commerce Platform,10,134,19,5,Kanban,Junior,Medium
Cloud Migration,9,120,26,5,Kanban,Mixed,Medium
Mobile App,7,99,35,3,Waterfall,Junior,High
Cybersecurity Solution,3,252,15,5,Scrum,Senior,Medium
AI / ML Project,6,966,10,8,Hybrid,Junior,High
AI / ML Project,12,145,32,7,Scrum,Senior,Medium
Cybersecurity Solution,8,34,29,7,Agile,Mixed,Medium
E-Commerce Platform,10,243,4,4,Kanban,Senior,Low
CRM System,3,143,26,6,Waterfall,Mixed,High
Web Application,6,58,28,9,Kanban,Mixed,Medium
Data Analytics Platform,16,345,25,4,Waterfall,Mixed,High
Mobile App,3,63,13,10,Kanban,Mixed,Medium
